autor,aut_nombre,aut_apellido,db_id
"Neruda, Pablo",Neruda,Pablo,1.0
"Mejía Rivera, Orlando",Mejía Rivera,Orlando,2.0
"Samper Pizano, Daniel",Samper Pizano,Daniel,3.0
"Moro, Tomás",Moro,Tomás,4.0
"Gonzáles Neira, Fabricio…",Gonzáles Neira,Fabricio…,5.0
"Meyrink, Gustav",Meyrink,Gustav,6.0
"Cárdenas Nanneti, Jorge",Cárdenas Nanneti,Jorge,7.0
"García Camarero, Ernesto",García Camarero,Ernesto,8.0
"Bridges, Valery",Bridges,Valery,9.0
"Bloch, Arthur",Bloch,Arthur,10.0
"Benitez, Juan José",Benitez,Juan José,11.0
"Almena, Fernando",Almena,Fernando,12.0
Varios,Varios,-,13.0
"Stevenson, Robert Louis",Stevenson,Robert Louis,14.0
"Nietzsche, Federico",Nietzsche,Federico,15.0
"Jiménez, Juán Ramón",Jiménez,Juán Ramón,16.0
"Kafka, Franz",Kafka,Franz,17.0
"Ospìna, Omar Evelio",Ospìna,Omar Evelio,18.0
"Zapata, Flobert",Zapata,Flobert,19.0
"García Lorca, Federico",García Lorca,Federico,20.0
"Mutis, Álvaro",Mutis,Álvaro,21.0
"Vélez Correa, Robeto",Vélez Correa,Robeto,22.0
"Gómez, Eduardo…",Gómez,Eduardo…,23.0
"Mann, Thomas",Mann,Thomas,24.0
"Davies, Paul",Davies,Paul,25.0
"García Márquez, Gabriel",García Márquez,Gabriel,26.0
"Cortázar, Julio",Cortázar,Julio,27.0
"Anton, Howard",Anton,Howard,28.0
"Leithold, Louis",Leithold,Louis,29.0
"Arbelaez, Jotamario",Arbelaez,Jotamario,30.0
"Ospina Buitrago, William",Ospina Buitrago,William,31.0
"Paz, Octavio",Paz,Octavio,32.0
"Gibran, Khalil",Gibran,Khalil,33.0
"Fromm, Erich",Fromm,Erich,34.0
"Engels, Federico",Engels,Federico,35.0
"Dostoievsky, Fiodor",Dostoievsky,Fiodor,36.0
"Gardner, Martin",Gardner,Martin,37.0
Anónimo,Anónimo,-,38.0
"Maluquer de Motes, Juan",Maluquer de Motes,Juan,39.0
"Miravitlles, Luis",Miravitlles,Luis,40.0
"Pinillos, José Luis",Pinillos,José Luis,41.0
"Roman, Colin A.",Roman,Colin A.,42.0
"Crespo, José Manuel…",Crespo,José Manuel…,43.0
"Bernal Villegas, Alfredo…",Bernal Villegas,Alfredo…,44.0
"Kippenhahn, Rudolf",Kippenhahn,Rudolf,45.0
"Rucker, Rudy",Rucker,Rudy,46.0
"Restrepo, Carlos Enrique…",Restrepo,Carlos Enrique…,47.0
Platón,Platón,-,48.0
"Clarke, Arthur C.",Clarke,Arthur C.,49.0
"Carpentier, Alejo",Carpentier,Alejo,50.0
"Verne, Julio",Verne,Julio,51.0
"Shakespeare, William",Shakespeare,William,52.0
Goethe,Goethe,-,53.0
"Sagan, Carl",Sagan,Carl,54.0
"Dennison Beetle, Ralph",Dennison Beetle,Ralph,55.0
"Postigo, Luis",Postigo,Luis,56.0
"Baldor, Aurelio",Baldor,Aurelio,57.0
"Herrera Castañeda, Hector Herney",Herrera Castañeda,Hector Herney,58.0
"Marcelo, Alonso...",Marcelo,Alonso...,59.0
"Alzate Echeverri, Marta Cielo",Alzate Echeverri,Marta Cielo,60.0
"Castro Canal, Daniel",Castro Canal,Daniel,61.0
"Vidal, Jorge",Vidal,Jorge,62.0
"Castro, Ana Paula…",Castro,Ana Paula…,63.0
"Berlitz, Charles",Berlitz,Charles,64.0
"Born, Max",Born,Max,65.0
"Gottfried, Byron S.",Gottfried,Byron S.,66.0
"Sábato, Ernesto",Sábato,Ernesto,67.0
