id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
M863 F82m,"Muerte de Artemio Cruz, La","Fuentes, Carlos","Salvat Editores, S.A.",214,-,1,f,082A
E863 I11c,"Chulla Romero y Florez, El","Icaza, Jorge","Salvat Editores, S.A.",180,-,1,f,040B
863 B17z,Zalacaín el Aventurero,"Baroja, Pío","Salvat Editores, S.A.",166,-,1,f,039B
900 C31h,"Humanismo, El","Chastel, André","Salvat Editores, S.A.",190,-,1,f,038B
843 D18t,Tartarín de Tarascón; tartarín en los Alpes,"Daudet, Alphonse","Salvat Editores, S.A.",214,-,1,f,037B
813 J15v,"Vuelta de Tuerca, La","James, Henry","Salvat Editores, S.A.",158,-,1,f,036B
853 B61d,"Decamerón, El",Boccaccio,"Salvat Editores, S.A.",182,-,1,f,031B
135 F72s,"Sueños, Los","Freud, Sigmund","Salvat Editores, S.A.",166,-,1,f,030B
813 T91h,Huckleberry Finn,"Twain, Mark","Salvat Editores, S.A.",220,-,1,f,029B
853 P71c,Crónica Familiar,"Pratolini, Vasco","Salvat Editores, S.A.",148,-,1,f,028B
863 P27m,Miau,"Pérez Galdós, Benito","Salvat Editores, S.A.",198,-,1,f,027B
709 S13r,"Rococo y su Época, El","Scönberger, A.","Salvat Editores, S.A.",158,-,1,f,026B
895.3 S46v,"Verdadera Historia de A Q, La","Sin, Lu","Salvat Editores, S.A.",198,-,1,f,025B
843 Z65p,Una Página de Amor,"Zola, Émile","Salvat Editores, S.A.",238,-,1,f,023B
504 R68c,Ciencia Falsa y Falsas Ciencias,"Rostand, Jean","Salvat Editores, S.A.",180,-,1,f,022B
863 S16v,"Vida Nueva de Pedrito de Andia, La","Sánchez Mazas, Rafael","Salvat Editores, S.A.",214,-,1,f,021B
813 M25 b,Billy Budd Marinero,"Melville, Herman","Salvat Editores, S.A.",156,-,1,f,020B
863 S26e,Epitalamio del Prieto Trinidad,"Sender, Ramón José","Salvat Editores, S.A.",216,-,1,f,059B
885 P51d,Diálogos Socráticos,Platón,"Salvat Editores, S.A.",148,-,1,f,058B
891.3,Hadzhi-Murat,"Tolstoi, León","Salvat Editores, S.A.",152,-,1,f,057B
Cu861 M17a,Antología,"Martí, José","Salvat Editores, S.A.",172,-,1,f,056B
861 B27p,Poesía Medieval Española,"Berceo, Gonzalo de…","Salvat Editores, S.A.",204,-,1,f,055B
863 P17m,"Morriña; Última Fada, La","Pardo Bazán, Emilia","Salvat Editores, S.A.",158,-,1,f,054B
980 C65c,Crónicas de Indias,"Colón, Cristobal…","Salvat Editores, S.A.",212,-,1,f,053B
862 C27e,Entremeses,"Cervantes Saavedra, Miguel de","Salvat Editores, S.A.",164,-,1,f,052B
