id,titulo,autor,editorial,pags,isbn,ejemplares
Ch861 N27v,Veinte Poemas de Amor y una Canción Desesperada / Residencia en la Tierra,"Neruda, Pablo",Casa Editorial El Tiempo,192,958-8089-36-0,1
C863 M24p,Pensamientos de Guerra,"Mejía Rivera, Orlando",Ministerio de Cultura,92,958-8052-52-1,1
104 M24c,"Clones, Ciborgs y Sirenas, De","Mejía Rivera, Orlando",Alcaldía Mayor de Bogotá,60,958-8109-04-3,1
C864.1 M24p,Cuadernos Filosófico-Literarios # 2 (Poesía y Conocimiento),"Mejía Rivera, Orlando",Centro Editorial Universidad de Caldas,49,I.S.S.N. 0123-0891,1
C867 S15L,Lecciones de Histeria de Colombia,"Samper Pizano, Daniel",El Áncora Editores,192,958-9012-91-4,1
C863 M24c,"Casa Rosada, La","Mejía Rivera, Orlando",Centro Editorial Universidad de Caldas,212,958-9092-95-0,1
104.1 M67u,Utopía,"Moro, Tomás","Ediciones Orbis, S.A.",204,84-7530-478-8,1
C864 M24c,"Catedrales, Los No Lugares y El Nuevo Orden, Las","Mejía Rivera, Orlando",-,16,-,1
C864.1 G66t,"Cuadernos Filosófico-Literarios # 9 - (Torno a Borges, En)","Gonzáles Neira, Fabricio…",Centro Editorial Universidad de Caldas,96,I.S.S.N. 0123-0891,2
833 M29g,"Golem, El","Meyrink, Gustav","Edicomunicación, s.a.",288,84-7672-936-7,1
463 C17d,Diccionario Norma,"Cárdenas Nanneti, Jorge",Grupo Editorial Norma Educativa,660,84-8276-206-0,1
920 G17g,Grandes Protagonistas de la Humanidad - Einstein,"García Camarero, Ernesto",Editora Cinco S.A.,238,958-9018-20-3,1
387.7 B74t,Historia de las Comunicaciones - Transportes Aéreos,"Bridges, Valery",Salvat S.A. de Ediciones,156,-,1
001 B56l,"Libro Completo de las leyes de Murphy, El","Bloch, Arthur",Editorial Diana,211,968-13-2297-5,1
863 B26c,Caballo de Troya 6 - Hermón,"Benitez, Juan José",Editorial Planeta S.A.,489,84-08-02744-1,1
