id,nombre
000,OBRAS GENERALES
001,CONOCIMIENTO CIENCIA ERUDICIÓN
002,EL LIBRO
010,CIENCIA Y TÉCNICA BIBLIOGRÁFICAS
011,Bibliografías generales y universales
012,Bibliografías individuales
013,Bibliografías de determinados grupos de autores
014,Bibliografías de obras anónimas y publicadas bajo seudónimo
015,Bibliografías nacionales
016,Bibliografías por materias
017,Catálogos sistemáticos impresos
018,Catálogos impresos de autores
019,Catálogos diccionarios impresos
020,BIBLIOTECOLOGIA
021,"Creación, finalidad y desarrollo de las bibliotecas"
022,Edificios de bibliotecas
023,Dirección y personal de la biblioteca
024,Reglamentos para uso de la biblioteca
025,Administración
026,Bibliotecas especializadas - Colecciones especiales
027,Bibliotecas generales
028,La lectura y su orientación
029,Métodos y materia para el trabajo intelectual
030,ENCICLOPEDIAS GENERALES
031,Enciclopedias norteamericanas
032,Enciclopedias británicas
033,Enciclopedias alemanas
034,Enciclopedias francesas
035,Enciclopedias italianas
036,Enciclopedias españolas
037,Enciclopedias rusas
038,Enciclopedias escandinavas
039,Otras enciclopedias
040,COLECCIONES DE ENSAYOS
050,PUBLICACIONES PERIODOCAS
060,SOCIEDADES
069,MUSEOS
070,PERIODISMO
071,Periódicos norteamericanos
072,Periódicos ingleses
073,Periódicos alemanes
074,Periódicos franceses
075,Periódicos italianos
076,Periódicos españoles
077,Periódicos rusos
078,Periódicos escandinavos
079,Historia individual de periódicos de otros países
080,POLIGRAFÍAS
081,Colecciones de obras de un solo autor
082,Colecciones de obras de varios autores
090,LIBROS RAROS Y CURIOSOS
091,Manuscritos
092,Libros xilográficos
093,Incunables
094,Impresiones raras y valiosas
095,Encuadernaciones raras y valiosas
096,Ilustraciones o materiales raros y valiosos
097,Marcas del impresor Ex libris
098,Obras raras por sus caracteres extrínsecos
100,FILOSOFÍA
101,Estética
109,Historia de la filosofía
110,METAFÍSICA
111,Ontología
112,Metodología
113,Cosmología
114,   Espacio
115,   Tiempo
116,   Movimiento
117,   Materia
118,   Energía
119,   Cantidad
120,TEORÍAS METAFÍSICAS
121,Gnoseología
123,Libertad
124,Teleología
125,Infinito
128,El alma
130,RAMAS DE LA PSICOLOGÍA
131,Psicología Fisiológica
132,Psicología de anormales
133,Ocultismo
134,Hipnotismo Mesmerismo
135,Sueños
136,Psicología  genética
137,Psicología individual
138,Fisiognómica
139,Frenología
140,SISTEMAS FILOSÓFICOS
141,Idealismo Trascendentalismo Espiritualismo Subjetivismo Individualismo Romanticismo
142,Filosofía crítica
143,Intuicionismo Bengsonismo
144,Empirismo Pragmatismo Humanismo Instrumentalismo Utilitarismo
145,Sensualismo
146,Naturalismo Materialismo Positivismo Atomismo Mecanicismo Neomecanicismo Dinamismo Energetismo Evolucionismo Transformismo Comtismo
147,Pamteísmo Panenteísmo Monismo Animismo Vitalismo Dualismo Pluralismo Paralelismo Ocasionalismo
