id,titulo,autor,editorial,pags,isbn,ejemplares,leido,db_id
M863 F82m,"Muerte de Artemio Cruz, La","Fuentes, Carlos","Salvat Editores, S.A.",214,-,1,f,356.0
E863 I11c,"Chulla Romero y Florez, El","Icaza, Jorge","Salvat Editores, S.A.",180,-,1,f,357.0
863 B17z,Zalacaín el Aventurero,"Baroja, Pío","Salvat Editores, S.A.",166,-,1,f,358.0
900 C31h,"Humanismo, El","Chastel, André","Salvat Editores, S.A.",190,-,1,f,359.0
843 D18t,Tartarín de Tarascón; tartarín en los Alpes,"Daudet, Alphonse","Salvat Editores, S.A.",214,-,1,f,360.0
813 J15v,"Vuelta de Tuerca, La","James, Henry","Salvat Editores, S.A.",158,-,1,f,361.0
853 B61d,"Decamerón, El",Boccaccio,"Salvat Editores, S.A.",182,-,1,f,362.0
135 F72s,"Sueños, Los","Freud, Sigmund","Salvat Editores, S.A.",166,-,1,f,363.0
813 T91h,Huckleberry Finn,"Twain, Mark","Salvat Editores, S.A.",220,-,1,f,364.0
853 P71c,Crónica Familiar,"Pratolini, Vasco","Salvat Editores, S.A.",148,-,1,f,365.0
863 P27m,Miau,"Pérez Galdós, Benito","Salvat Editores, S.A.",198,-,1,f,366.0
709 S13r,"Rococo y su Época, El","Scönberger, A.","Salvat Editores, S.A.",158,-,1,f,367.0
895.3 S46v,"Verdadera Historia de A Q, La","Sin, Lu","Salvat Editores, S.A.",198,-,1,f,368.0
843 Z65p,Una Página de Amor,"Zola, Émile","Salvat Editores, S.A.",238,-,1,f,369.0
504 R68c,Ciencia Falsa y Falsas Ciencias,"Rostand, Jean","Salvat Editores, S.A.",180,-,1,f,370.0
863 S16v,"Vida Nueva de Pedrito de Andia, La","Sánchez Mazas, Rafael","Salvat Editores, S.A.",214,-,1,f,371.0
813 M25 b,Billy Budd Marinero,"Melville, Herman","Salvat Editores, S.A.",156,-,1,f,372.0
863 S26e,Epitalamio del Prieto Trinidad,"Sender, Ramón José","Salvat Editores, S.A.",216,-,1,f,373.0
885 P51d,Diálogos Socráticos,Platón,"Salvat Editores, S.A.",148,-,1,f,374.0
891.3,Hadzhi-Murat,"Tolstoi, León","Salvat Editores, S.A.",152,-,1,f,375.0
Cu861 M17a,Antología,"Martí, José","Salvat Editores, S.A.",172,-,1,f,376.0
861 B27p,Poesía Medieval Española,"Berceo, Gonzalo de…","Salvat Editores, S.A.",204,-,1,f,377.0
863 P17m,"Morriña; Última Fada, La","Pardo Bazán, Emilia","Salvat Editores, S.A.",158,-,1,f,378.0
980 C65c,Crónicas de Indias,"Colón, Cristobal…","Salvat Editores, S.A.",212,-,1,f,379.0
862 C27e,Entremeses,"Cervantes Saavedra, Miguel de","Salvat Editores, S.A.",164,-,1,f,380.0
709 C18a,Arte Precolombino y Colonial de la América Latina,"Castedo, Leopoldo","Salvat Editores, S.A.",172,-,1,f,381.0
843 B15g,"Goriot, El Padre","Balzac, Honoré de","Salvat Editores, S.A.",206,-,1,f,382.0
574 D17v,Viaje de una Naturalista,"Darwin, Charles R.","Salvat Editores, S.A.",212,-,1,f,383.0
853 P19b,"Bello Verano, El","Pavese, Cesare","Salvat Editores, S.A.",148,-,1,f,384.0
829.3 S16n,"Novia de Lammermoor, La","Scott, Walter","Salvat Editores, S.A.",200,-,1,f,385.0
875 S26c,Consolación a mi madre Helvia - Cartas a Lucilio - Sobre los Beneficios,"Séneca, Lucio Anneo","Salvat Editores, S.A.",158,-,1,f,386.0
813 M11b,"Balada del Café Triste, La - Reflejos en un Ojo Dorado","McCullers, Carson","Salvat Editores, S.A.",172,-,1,f,387.0
Pe863 V16c,"Cachorros, Los - Desafío, El - Día Domingo","Vargas Llosa, Mario","Salvat Editores, S.A.",148,-,1,f,388.0
111 M17t,Tres Visiones de la Vida Humana,"Marías, Julián","Salvat Editores, S.A.",164,-,1,f,389.0
